brand,item,category,meat,price_uah,weight_g,calories_total,protein_total,fat_total,carbs_total,sodium_total,calories,protein_g,fat_g,carbs_g,sodium_mg,price_per_100g,price_per_100kcal,price_per_protein,protein_kcal,fat_kcal,carbs_kcal,macro_kcal,protein_pct,fat_pct,carbs_pct,is_protein,is_fat,is_carb,macro_balance_score,macro_balance,predicted_price,price_difference,price_difference_pct,absolute_price_difference
Mcdonald's,BigMac,burger,Beef,149,212,526.0,27.0,27.0,43.0,2200.0,248.1,12.7,12.7,20.3,1037.7,70.28,28.33,5.52,108.0,243.0,172.0,523.0,20.650095602294456,46.46271510516252,32.88718929254302,True,False,False,1,Poorly balanced,163.93212402017525,-14.932124020175252,-9.11,14.932124020175252
Mcdonald's,Filet-o-Fish,burger,Fish,126,130,327.0,15.0,14.0,35.0,1400.0,251.5,11.5,10.8,26.9,1076.9,96.92,38.53,8.4,60.0,126.0,140.0,326.0,18.404907975460123,38.65030674846626,42.944785276073624,False,False,True,1,Poorly balanced,83.99934092372922,42.00065907627078,50.0,42.00065907627078
Mcdonald's,Filet-o-Fish Deluxe,burger,Fish,145,160,360.0,15.0,16.0,38.0,1700.0,225.0,9.4,10.0,23.8,1062.5,90.62,40.28,9.67,60.0,144.0,152.0,356.0,16.853932584269664,40.44943820224719,42.69662921348314,False,False,True,1,Poorly balanced,96.24407898102521,48.75592101897479,50.66,48.75592101897479
Mcdonald's,Royal Cheeseburger,burger,Beef,173,194,530.0,32.0,27.0,38.0,2600.0,273.2,16.5,13.9,19.6,1340.2,89.18,32.64,5.41,128.0,243.0,152.0,523.0,24.47418738049713,46.46271510516252,29.063097514340345,True,False,False,1,Poorly balanced,165.26845197623862,7.731548023761377,4.68,7.731548023761377
Mcdonald's,Double Royal Cheeseburger,burger,Beef,265,272,760.0,52.0,44.0,38.0,3000.0,279.4,19.1,16.2,14.0,1102.9,97.43,34.87,5.1,208.0,396.0,152.0,756.0,27.513227513227513,52.38095238095239,20.105820105820104,True,False,False,1,Poorly balanced,261.6161601279012,3.383839872098804,1.29,3.383839872098804
Mcdonald's,Cheeseburger with Bacon,burger,Beef,95,116,348.0,16.4,17.6,27.8,1900.0,300.0,14.1,15.2,24.0,1637.9,81.9,27.3,5.79,65.6,158.4,111.2,335.2,19.570405727923625,47.25536992840096,33.17422434367542,False,False,False,0,Poorly balanced,87.49071875198763,7.509281248012371,8.58,7.509281248012371
Mcdonald's,Chicken Junior,burger,Chicken,75,110,280.0,9.0,11.0,36.0,1400.0,254.5,8.2,10.0,32.7,1272.7,68.18,26.79,8.33,36.0,99.0,144.0,279.0,12.903225806451612,35.483870967741936,51.61290322580645,False,False,True,1,Poorly balanced,63.501181115171875,11.498818884828125,18.11,11.498818884828125
Mcdonald's,Chicken Wrap,wrap,Chicken,148,215,340.0,19.2,10.1,42.2,2200.0,158.1,8.9,4.7,19.6,1023.3,68.84,43.53,7.71,76.8,90.89999999999999,168.8,336.5,22.823179791976226,27.01337295690936,50.16344725111441,True,True,True,3,Well-balanced,93.53989395230099,54.460106047699014,58.22,54.460106047699014
Mcdonald's,Fish Wrap,wrap,Fish,148,190,436.0,18.0,19.0,46.0,1400.0,229.5,9.5,10.0,24.2,736.8,77.89,33.94,8.22,72.0,171.0,184.0,427.0,16.861826697892273,40.04683840749414,43.09133489461358,False,False,True,1,Poorly balanced,124.31372353316556,23.686276466834443,19.05,23.686276466834443
Mcdonald's,Creamy BBQ Chicken Wrap,wrap,Chicken,148,210,475.0,22.0,23.0,44.0,2800.0,226.2,10.5,11.0,21.0,1333.3,70.48,31.16,6.73,88.0,207.0,176.0,471.0,18.683651804670912,43.94904458598726,37.367303609341825,False,False,False,0,Poorly balanced,142.95481034452115,5.0451896554788505,3.53,5.0451896554788505
Mcdonald's,Shrimp Wrap,wrap,Fish,179,155,354.0,17.0,16.0,34.0,1300.0,228.4,11.0,10.3,21.9,838.7,115.48,50.56,10.53,68.0,144.0,136.0,348.0,19.54022988505747,41.37931034482759,39.08045977011494,False,False,False,0,Poorly balanced,94.0862986093469,84.9137013906531,90.25,84.9137013906531
Mcdonald's,Snack Wrap,wrap,Chicken,85,115,265.0,14.0,11.0,27.0,1600.0,230.4,12.2,9.6,23.5,1391.3,73.91,32.08,6.07,56.0,99.0,108.0,263.0,21.292775665399237,37.6425855513308,41.06463878326996,True,False,True,2,Partially balanced,60.40323967015341,24.59676032984659,40.72,24.59676032984659
KFC,Toast 2 Cheese,burger,Vegetarian,42,77,212.7,9.1,7.4,28.9,1300.0,276.2,11.8,9.6,37.5,1688.3,54.55,19.75,4.62,36.4,66.60000000000001,115.6,218.6,16.65141811527905,30.46660567246112,52.88197621225983,False,False,True,1,Poorly balanced,40.334977920332236,1.6650220796677644,4.13,1.6650220796677644
KFC,Chicken Junior,burger,Chicken,60,113,324.7,12.6,14.1,38.7,1400.0,287.3,11.2,12.5,34.2,1238.9,53.1,18.48,4.76,50.4,126.89999999999999,154.8,332.1,15.176151761517614,38.21138211382114,46.612466124661246,False,False,True,1,Poorly balanced,84.19615491839687,-24.19615491839687,-28.74,24.19615491839687
KFC,Tower Burger,burger,Chicken,173,224,616.4,27.8,28.6,65.2,2100.0,275.2,12.4,12.8,29.1,937.5,77.23,28.07,6.22,111.2,257.40000000000003,260.8,629.4000000000001,17.667619955513185,40.89609151572927,41.436288528757544,False,False,True,1,Poorly balanced,202.36435256960883,-29.364352569608826,-14.51,29.364352569608826
KFC,Tower Burger spicy,burger,Chicken,173,221,600.0,24.8,29.0,63.0,2200.0,271.5,11.2,13.1,28.5,995.5,78.28,28.83,6.98,99.2,261.0,252.0,612.2,16.203854949362952,42.63312642927148,41.163018621365566,False,False,True,1,Poorly balanced,194.86615151060766,-21.866151510607665,-11.22,21.866151510607665
KFC,Cheeseburger,burger,Chicken,75,124,319.5,15.2,11.2,41.7,1900.0,257.7,12.3,9.0,33.6,1532.3,60.48,23.47,4.93,60.8,100.8,166.8,328.4,18.514007308160778,30.694275274056032,50.7917174177832,False,False,True,1,Poorly balanced,84.35253326819657,-9.352533268196566,-11.09,9.352533268196566
